Sample Name	Country	Lineage	Mapped	Reference
ERR278136	Finland	T1	yes	F_SW4
ERR278137	Finland	T2	yes	F_SW4
ERR278139	Finland	T1	yes	F_SW4
ERR278140	Finland	T2	yes	F_SW4
ERR278141	Finland	T1	yes	F_SW4
ERR278143	Finland	T1	yes	F_SW4
ERR278145	Finland	T1	yes	F_SW4
ERR278146	Finland	T1	yes	F_SW4
ERR278147	Finland	T2	yes	F_SW4
ERR278148	Finland	T1	yes	F_SW4
ERR278150	Finland	T1	yes	F_SW4
ERR278152	Finland	T1	yes	F_SW4
ERR278153	Finland	T1	yes	F_SW4
ERR278154	Finland	T2	yes	F_SW4
ERR278158	Finland	T1	yes	F_SW4
ERR278160	Finland	T1	yes	F_SW4
ERR278161	Finland	T1	yes	F_SW4
ERR278162	Finland	T1	yes	F_SW4
ERR278163	Finland	T2	yes	F_SW4
ERR278164	Finland	T2	yes	F_SW4
ERR278165	Finland	T2	yes	F_SW4
ERR278186	Finland	T2	yes	F_SW4
ERR278187	Finland	T1	yes	F_SW4
ERR278213	Finland	T2	yes	F_SW4
ERR008586	France	LGV	yes	L2_434_BU
ERR019528	France	LGV	yes	L2_434_BU
ERR019531	France	LGV	yes	L2_434_BU
ERR111563	Russia	T1	yes	F_SW4
ERR111565	Russia	T1	yes	F_SW4
ERR111566	Russia	T1	yes	F_SW4
ERR111567	Russia	T1	yes	F_SW4
ERR111568	Russia	T1	yes	F_SW4
ERR111569	Russia	T2	yes	F_SW4
ERR111576	Russia	T2	yes	F_SW4
ERR111594	Russia	T1	yes	F_SW4
ERR111595	Russia	T2	yes	F_SW4
ERR111596	Russia	T1	yes	F_SW4
ERR111597	Russia	T1	yes	F_SW4
ERR111599	Russia	T2	yes	F_SW4
ERR111600	Russia	T1	yes	F_SW4
ERR111601	Russia	T1	yes	F_SW4
ERR111605	Russia	T2	yes	F_SW4
ERR111606	Russia	T2	yes	F_SW4
ERR111609	Russia	T2	yes	F_SW4
ERR111610	Russia	T2	yes	F_SW4
ERR111611	Russia	T2	yes	F_SW4
ERR111612	Russia	T2	yes	F_SW4
ERR111614	Russia	T2	yes	F_SW4
ERR111615	Russia	T1	yes	F_SW4
ERR111616	Russia	T2	yes	F_SW4
ERR111617	Russia	T2	yes	F_SW4
ERR111619	Russia	T2	yes	F_SW4
ERR111620	Russia	T2	yes	F_SW4
ERR111621	Russia	T1	yes	F_SW4
ERR111622	Russia	T2	yes	F_SW4
ERR111626	Russia	T2	yes	F_SW4
ERR111627	Russia	T2	yes	F_SW4
ERR111628	Russia	T2	yes	F_SW4
ERR111629	Russia	T2	yes	F_SW4
ERR111630	Russia	T1	yes	F_SW4
ERR140756	Russia	T2	yes	F_SW4
ERR140795	Russia	T1	yes	F_SW4
ERR140835	Russia	T1	yes	F_SW4
ERR140836	Russia	T2	yes	F_SW4
ERR140838	Russia	T2	yes	F_SW4
ERR140839	Russia	T2	yes	F_SW4
ERR140840	Russia	T2	yes	F_SW4
ERR164654	Russia	T2	yes	F_SW4
ERR164655	Russia	T1	yes	F_SW4
ERR008588	Sweden	T1	yes	F_SW4
ERR008589	Sweden	T1	yes	F_SW4
ERR108282	Sweden	T1	yes	F_SW4
ERR108283	Sweden	T1	yes	F_SW4
ERR108284	Sweden	T1	yes	F_SW4
ERR108285	Sweden	T1	yes	F_SW4
ERR108286	Sweden	T2	yes	F_SW4
ERR108287	Sweden	T1	yes	F_SW4
ERR108288	Sweden	T1	yes	F_SW4
ERR108289	Sweden	T1	yes	F_SW4
ERR108291	Sweden	T2	yes	F_SW4
ERR108292	Sweden	T1	yes	F_SW4
ERR108293	Sweden	T1	yes	F_SW4
ERR108294	Sweden	T2	yes	F_SW4
ERR108295	Sweden	T2	yes	F_SW4
ERR108296	Sweden	T2	yes	F_SW4
ERR108299	Sweden	T2	yes	F_SW4
ERR108300	Sweden	T2	yes	F_SW4
ERR108301	Sweden	T2	yes	F_SW4
ERR108302	Sweden	T2	yes	F_SW4
ERR108303	Sweden	T2	yes	F_SW4
ERR108304	Sweden	T2	yes	F_SW4
ERR111577	Sweden	T1	yes	F_SW4
ERR111578	Sweden	T2	yes	F_SW4
ERR111579	Sweden	T1	yes	F_SW4
ERR111581	Sweden	T2	yes	F_SW4
ERR111582	Sweden	T1	yes	F_SW4
ERR111583	Sweden	T1	yes	F_SW4
ERR111584	Sweden	T2	yes	F_SW4
ERR111585	Sweden	T1	yes	F_SW4
ERR111586	Sweden	T2	yes	F_SW4
ERR111587	Sweden	T2	yes	F_SW4
ERR111593	Sweden	T1	yes	F_SW4
ERR140800	Sweden	T1	yes	F_SW4
ERR140801	Sweden	T1	yes	F_SW4
ERR140803	Sweden	T1	yes	F_SW4
ERR140804	Sweden	T2	yes	F_SW4
ERR140805	Sweden	T1	yes	F_SW4
ERR140807	Sweden	T2	yes	F_SW4
ERR140808	Sweden	T1	yes	F_SW4
ERR140809	Sweden	T1	yes	F_SW4
ERR140810	Sweden	T1	yes	F_SW4
ERR140811	Sweden	T1	yes	F_SW4
ERR140812	Sweden	T1	yes	F_SW4
ERR140813	Sweden	T2	yes	F_SW4
ERR140814	Sweden	T2	yes	F_SW4
ERR140815	Sweden	T1	yes	F_SW4
ERR140817	Sweden	T1	yes	F_SW4
ERR140829	Sweden	T2	yes	F_SW4
ERR140831	Sweden	T1	yes	F_SW4
ERR140832	Sweden	T1	yes	F_SW4
ERR140841	Sweden	T1	yes	F_SW4
ERR164647	Sweden	T2	yes	F_SW4
ERR164648	Sweden	T2	yes	F_SW4
ERR164649	Sweden	T2	yes	F_SW4
ERR008598	The_Netherland	T1	yes	F_SW4
ERR111591	The_Netherland	T2	yes	F_SW4
ERR111592	The_Netherland	T2	yes	F_SW4
ERR140754	The_Netherland	T1	yes	F_SW4
ERR140760	The_Netherland	T1	yes	F_SW4
ERR140816	The_Netherland	T1	yes	F_SW4
ERR140818	The_Netherland	T2	yes	F_SW4
ERR164674	The_Netherland	T1	yes	F_SW4
ERR164676	The_Netherland	T1	yes	F_SW4
ERR164678	The_Netherland	T2	yes	F_SW4
ERR164679	The_Netherland	T2	yes	F_SW4
ERR164680	The_Netherland	T2	yes	F_SW4
ERR164681	The_Netherland	T2	yes	F_SW4
ERR164682	The_Netherland	T2	yes	F_SW4
ERR164684	The_Netherland	T1	yes	F_SW4
ERR164687	The_Netherland	T1	yes	F_SW4
ERR164689	The_Netherland	T1	yes	F_SW4
ERR164690	The_Netherland	T1	yes	F_SW4
ERR189726	The_Netherland	T1	yes	F_SW4
ERR189729	The_Netherland	T2	yes	F_SW4
ERR189730	The_Netherland	T2	yes	F_SW4
ERR189732	The_Netherland	T2	yes	F_SW4
ERR189733	The_Netherland	T2	yes	F_SW4
ERR189734	The_Netherland	T2	yes	F_SW4
ERR189756	The_Netherland	T1	yes	F_SW4
ERR189757	The_Netherland	T1	yes	F_SW4
ERR189758	The_Netherland	T1	yes	F_SW4
ERR189762	The_Netherland	T1	yes	F_SW4
ERR189763	The_Netherland	T2	yes	F_SW4
ERR189764	The_Netherland	T2	yes	F_SW4
ERR189765	The_Netherland	T2	yes	F_SW4
ERR210970	The_Netherland	T2	yes	F_SW4
ERR210971	The_Netherland	T2	yes	F_SW4
ERR210973	The_Netherland	T2	yes	F_SW4
ERR210974	The_Netherland	T2	yes	F_SW4
ERR210975	The_Netherland	T2	yes	F_SW4
ERR210976	The_Netherland	T2	yes	F_SW4
ERR210979	The_Netherland	T2	yes	F_SW4
ERR210980	The_Netherland	T1	yes	F_SW4
ERR210985	The_Netherland	T2	yes	F_SW4
ERR210986	The_Netherland	T2	yes	F_SW4
ERR210987	The_Netherland	T2	yes	F_SW4
ERR210988	The_Netherland	T2	yes	F_SW4
ERR211016	The_Netherland	T2	yes	F_SW4
ERR211022	The_Netherland	T1	yes	F_SW4
ERR211026	The_Netherland	T2	yes	F_SW4
ERR211027	The_Netherland	T2	yes	F_SW4
ERR211028	The_Netherland	T2	yes	F_SW4
ERR211029	The_Netherland	T2	yes	F_SW4
ERR211030	The_Netherland	T2	yes	F_SW4
ERR278184	The_Netherland	T1	yes	F_SW4
ERR278214	The_Netherland	T2	yes	F_SW4
ERR008581	UK	LGV	yes	L2_434_BU
ERR034346	UK	T1	yes	F_SW4
ERR111555	UK	T1	yes	F_SW4
ERR111556	UK	T1	yes	F_SW4
ERR111557	UK	T1	yes	F_SW4
ERR111558	UK	T1	yes	F_SW4
ERR111559	UK	T1	yes	F_SW4
ERR111560	UK	T1	yes	F_SW4
ERR111561	UK	T1	yes	F_SW4
ERR140819	UK	T2	yes	F_SW4
ERR140820	UK	T1	yes	F_SW4
ERR140821	UK	T1	yes	F_SW4
ERR140822	UK	T2	yes	F_SW4
ERR140823	UK	T1	yes	F_SW4
ERR140824	UK	T1	yes	F_SW4
ERR140825	UK	T1	yes	F_SW4
ERR140826	UK	T1	yes	F_SW4
ERR140827	UK	T1	yes	F_SW4
ERR140828	UK	T2	yes	F_SW4
ERR164661	UK	LGV	yes	L2_434_BU
ERR164662	UK	LGV	yes	L2_434_BU
ERR164663	UK	LGV	yes	L2_434_BU
ERR164665	UK	LGV	yes	L2_434_BU
ERR175608	UK	T1	yes	F_SW4
ERR175612	UK	T1	yes	F_SW4
ERR175625	UK	T1	yes	F_SW4
ERR175646	UK	T1	yes	F_SW4
ERR210997	UK	T2	yes	F_SW4
ERR210999	UK	T1	yes	F_SW4
ERR211004	UK	T1	yes	F_SW4
ERR211005	UK	T1	yes	F_SW4
ERR211009	UK	T1	yes	F_SW4
ERR211010	UK	T1	yes	F_SW4
ERR211013	UK	T1	yes	F_SW4
ERR658399	UK	T1	yes	F_SW4
ERR658498	UK	T2	yes	F_SW4
ERR658501	UK	T2	yes	F_SW4
ERR658523	UK	T2	yes	F_SW4
ERR658574	UK	T1	yes	F_SW4
ERR658576	UK	T1	yes	F_SW4
ERR658578	UK	T1	yes	F_SW4
ERR658580	UK	T1	yes	F_SW4
ERR658581	UK	T1	yes	F_SW4
ERR658582	UK	T1	yes	F_SW4
ERR658583	UK	T1	yes	F_SW4
ERR658584	UK	T2	yes	F_SW4
ERR658585	UK	T1	yes	F_SW4
ERR658586	UK	T2	yes	F_SW4
ERR658587	UK	T1	yes	F_SW4
ERR658588	UK	T1	yes	F_SW4
ERR658591	UK	T1	yes	F_SW4
ERR658592	UK	T1	yes	F_SW4
ERR658595	UK	T1	yes	F_SW4
ERR658602	UK	T1	yes	F_SW4
ERR658606	UK	T1	yes	F_SW4
ERR658610	UK	T1	yes	F_SW4
ERR658617	UK	T1	yes	F_SW4
ERR658619	UK	T1	yes	F_SW4
ERR658626	UK	T1	yes	F_SW4
ERR658632	UK	T1	yes	F_SW4
ERR658635	UK	T2	yes	F_SW4
ERR658639	UK	T1	yes	F_SW4
ERR658642	UK	T1	yes	F_SW4
ERR658645	UK	T1	yes	F_SW4
ERR658647	UK	T1	yes	F_SW4
ERR658649	UK	T1	yes	F_SW4
ERR658650	UK	T1	yes	F_SW4
ERR658652	UK	T1	yes	F_SW4
ERR658656	UK	T1	yes	F_SW4
ERR658658	UK	T2	yes	F_SW4
ERR658664	UK	T1	yes	F_SW4
ERR658666	UK	T1	yes	F_SW4
ERR658667	UK	T1	yes	F_SW4
ERR658668	UK	T1	yes	F_SW4
ERR658669	UK	T1	yes	F_SW4
ERR658670	UK	T1	yes	F_SW4
ERR658671	UK	T1	yes	F_SW4
ERR658672	UK	T1	yes	F_SW4
ERR658673	UK	T2	yes	F_SW4
ERR658682	UK	T1	yes	F_SW4
ERR164658	USA	T2	yes	F_SW4
ERR278181	USA	T1	yes	F_SW4
ERR278182	USA	T2	yes	F_SW4
ERR278215	USA	T2	yes	F_SW4
ERR348839	USA	LGV	yes	L2_434_BU
ERR348840	USA	LGV	yes	L2_434_BU
ERR348841	USA	LGV	yes	L2_434_BU
ERR348842	USA	LGV	yes	L2_434_BU
ERR348844	USA	LGV	yes	L2_434_BU
ERR348845	USA	T1	yes	F_SW4
ERR348847	USA	LGV	yes	L2_434_BU
ERR348858	USA	LGV	yes	L2_434_BU
ERR351533	USA	LGV	yes	L2_434_BU
ERR516390	USA	LGV	yes	L2_434_BU
ERR516391	USA	LGV	yes	L2_434_BU
ERR516392	USA	LGV	yes	L2_434_BU
ERR558497	USA	T2	yes	F_SW4
ERR558500	USA	T1	yes	F_SW4
ERR558501	USA	T1	yes	F_SW4
ERR558505	USA	T2	yes	F_SW4
